Time (milliseconds),X,Y,Z
3552069,-120,12,-980
3552089,-124,8,-980
3552114,-116,8,-996
3552130,-120,8,-976
3552150,-120,8,-972
3552171,-120,8,-992
3552191,-116,12,-984
3552211,-120,4,-984
3552231,-112,8,-976
3552252,-124,4,-988
3552273,-124,8,-992
3552293,-116,8,-992
3552313,-120,8,-988
3552333,-116,12,-996
3552353,-108,12,-996
3552494,-128,36,-1020
3552498,-120,36,-1008
3552502,-120,36,-1008
3552506,-120,36,-1008
3552510,-120,36,-1008
3552514,-120,36,-1008
3552518,-120,36,-1012
3552522,-120,36,-1012
3552536,-124,44,-1020
3552556,-132,52,-1024
3552577,-124,60,-1028
3552606,-128,68,-1020
3552617,-136,64,-1032
3552637,-128,56,-1036
3552658,-124,60,-1032
3552678,-128,60,-1032
3552698,-132,64,-1048
3552719,-124,68,-1044
3552739,-136,76,-1048
3552759,-136,80,-1052
3552779,-140,80,-1052
3552800,-140,84,-1056
3552820,-140,84,-1056
3552846,-128,80,-1060
3552860,-140,80,-1064
3552881,-136,92,-1068
3552901,-140,88,-1060
3552921,-136,92,-1060
3552942,-128,88,-1064
3552962,-136,84,-1048
3552982,-128,84,-1060
3553003,-128,96,-1048
3553023,-124,96,-1044
3553043,-132,100,-1052
3553064,-136,88,-1052
3553086,-136,88,-1048
3553104,-136,104,-1048
3553125,-132,88,-1048
3553145,-132,100,-1048
3553165,-124,92,-1044
3553185,-124,92,-1044
3553206,-136,96,-1044
3553226,-132,88,-1040
3553246,-128,88,-1020
3553267,-124,72,-1024
3553287,-132,84,-1020
3553310,-128,76,-1012
3553328,-124,72,-1012
3553348,-128,76,-1024
3553368,-128,76,-1012
3553389,-128,72,-1008
3553409,-128,76,-1008
3553429,-124,72,-992
3553449,-128,72,-1000
3553469,-116,72,-992
3553490,-120,68,-992
3553510,-120,56,-988
3553530,-128,56,-988
3553554,-116,64,-980
3553571,-120,56,-972
3553592,-120,56,-972
3553612,-112,52,-972
3553632,-116,48,-980
3553652,-116,48,-964
3553672,-116,48,-964
3553693,-112,40,-964
3553713,-116,32,-960
3553733,-100,12,-952
3553754,-104,24,-948
3553774,-108,12,-956
3553798,-108,12,-948
3553815,-112,24,-956
3553835,-116,28,-948
3553856,-112,8,-948
3553876,-108,16,-948
3553896,-112,16,-952
3553917,-120,20,-956
3553937,-108,8,-952
3553957,-120,16,-968
3553977,-108,8,-968
3553997,-116,8,-952
3554017,-116,20,-960
3554038,-112,20,-964
3554058,-120,12,-964
3554078,-120,12,-972
3554098,-120,8,-972
3554119,-124,12,-972
3554139,-120,8,-976
3554159,-120,16,-984
3554180,-124,0,-984
3554200,-128,4,-992
3554220,-128,16,-976
3554241,-120,0,-976
3554261,-120,-4,-984
3554281,-120,4,-980
3554306,-120,4,-984
3554322,-120,0,-988
3554342,-116,12,-984
3554363,-116,4,-980
3554383,-112,0,-988
3554403,-112,8,-984
3554423,-108,8,-992
3554444,-108,-4,-988
3554464,-120,4,-984
3554484,-112,16,-992
3554505,-112,8,-1000
3554525,-112,20,-992
3554545,-120,16,-992
3554565,-120,20,-1004
3554586,-112,32,-1008
3554606,-116,28,-1008
3554626,-128,36,-1004
3554647,-128,44,-1020
3554667,-132,48,-1016
3554688,-128,52,-1020
3554708,-128,56,-1024
3554728,-128,56,-1028
3554748,-128,64,-1032
3554768,-132,64,-1036
3554794,-136,68,-1028
3554809,-132,64,-1040
3554829,-136,72,-1036
3554850,-128,68,-1044
3554870,-128,72,-1056
3554890,-140,80,-1052
3554911,-140,72,-1056
3554931,-136,76,-1052
3554952,-136,80,-1056
3554972,-132,76,-1060
3554992,-136,88,-1060
3555013,-132,80,-1060
3555038,-140,100,-1048
3555053,-140,88,-1044
3555073,-136,88,-1056
3555093,-136,84,-1060
3555113,-132,96,-1064
3555134,-132,88,-1056
3555154,-124,84,-1056
3555174,-128,92,-1052
3555195,-136,96,-1048
3555216,-132,96,-1048
3555236,-128,92,-1044
3555266,-128,76,-1044
3555277,-128,84,-1040
3555297,-124,84,-1036
3555317,-124,84,-1040
3555337,-132,76,-1040
3555357,-128,84,-1036
3555377,-132,80,-1032
3555398,-132,88,-1036
3555418,-124,84,-1036
3555438,-132,80,-1024
3555458,-120,76,-1024
3555479,-128,76,-1024
3555502,-132,76,-1024
3555519,-128,64,-1008
3555540,-132,64,-996
3555560,-128,64,-1004
3555580,-128,64,-984
3555601,-120,64,-980
3555621,-116,56,-980
3555641,-128,48,-976
3555661,-120,56,-976
3555682,-124,52,-980
3555702,-128,56,-976
3555722,-120,48,-976
3555746,-124,40,-960
3555763,-116,48,-964
3555783,-108,32,-956
3555804,-112,16,-952
3555824,-104,32,-960
3555844,-108,20,-952
3555865,-112,20,-944
3555885,-112,24,-948
3555905,-112,28,-956
3555925,-108,24,-956
3555946,-108,20,-948
3555966,-116,24,-948
3555990,-100,8,-944
3556007,-100,12,-956
3556027,-116,16,-952
3556047,-112,12,-952
3556068,-108,8,-968
3556088,-116,4,-956
3556108,-120,12,-964
3556129,-112,12,-964
3556149,-112,8,-964
3556169,-112,4,-972
3556189,-116,0,-968
3556209,-116,8,-976
3556230,-116,4,-972
3556358,-120,-4,-980
3556362,-120,-4,-980
3556366,-120,-4,-980
3556370,-120,-4,-980
3556374,-120,4,-976
3556378,-120,4,-976
3556382,-120,4,-976
3556393,-120,0,-984
3556413,-116,4,-980
3556433,-120,0,-984
3556453,-116,4,-980
3556473,-120,4,-984
3556502,-124,0,-1000
3556514,-112,0,-992
3556534,-120,0,-1000
3556555,-116,8,-992
3556575,-116,8,-992
3556596,-116,12,-992
3556616,-108,12,-992
3556636,-112,8,-1000
3556656,-108,12,-996
3556676,-124,24,-1004
3556696,-116,20,-1012
3556717,-124,24,-1004
3556737,-124,32,-1024
3556762,-124,28,-1028
3556778,-116,28,-1028
3556798,-124,44,-1024
3556818,-128,44,-1016
3556838,-132,48,-1028
3556859,-136,52,-1032
3556879,-128,48,-1028
3556899,-136,64,-1040
3556920,-128,60,-1044
3556940,-136,64,-1044
3556960,-132,68,-1060
3556986,-140,72,-1052
3557001,-132,72,-1060
3557021,-136,80,-1060
3557041,-140,80,-1056
3557062,-144,76,-1060
3557082,-136,84,-1052
3557102,-136,80,-1060
3557123,-140,80,-1068
3557143,-136,88,-1056
3557163,-136,84,-1060
3557184,-140,84,-1052
3557204,-136,80,-1060
3557230,-140,80,-1060
3557245,-136,76,-1056
3557265,-140,92,-1052
3557285,-132,80,-1056
3557305,-136,88,-1044
3557326,-136,84,-1052
3557346,-128,76,-1048
